"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2016","2,190.0801","2,176.6169","2,197.4485","2,171.1021","-","0.76%"
"Nov 04, 2016","2,173.5020","2,194.8611","2,197.5349","2,160.5085","-","-0.90%"
"Nov 03, 2016","2,193.3430","2,215.0640","2,221.5798","2,186.6677","-","-0.74%"
"Nov 02, 2016","2,209.5891","2,237.3389","2,239.0288","2,198.4441","-","-1.58%"
"Nov 01, 2016","2,245.0659","2,267.7317","2,282.2244","2,235.0254","-","-0.28%"
"Oct 31, 2016","2,251.3879","2,304.2131","2,305.1387","2,248.0447","-","-2.26%"
"Oct 28, 2016","2,303.5610","2,326.1914","2,329.9226","2,296.8071","-","-1.00%"
"Oct 27, 2016","2,326.7280","2,307.8728","2,334.2935","2,304.9031","-","0.88%"
"Oct 26, 2016","2,306.3550","2,309.9336","2,326.0210","2,295.2485","-","-0.71%"
"Oct 25, 2016","2,322.7859","2,334.2004","2,349.8091","2,317.8010","-","-0.49%"
"Oct 24, 2016","2,334.2129","2,336.1150","2,348.1877","2,312.1663","-","-0.22%"
"Oct 21, 2016","2,339.3181","2,329.2454","2,342.8713","2,319.9980","-","0.45%"
"Oct 20, 2016","2,328.7361","2,361.3123","2,363.1599","2,321.2314","-","-1.42%"
"Oct 19, 2016","2,362.3589","2,343.3201","2,372.3445","2,343.2600","-","1.05%"
"Oct 18, 2016","2,337.8679","2,334.4116","2,348.9209","2,327.7087","-","0.25%"
"Oct 17, 2016","2,331.9800","2,337.0210","2,347.2866","2,315.8569","-","-0.27%"
"Oct 14, 2016","2,338.1841","2,340.5039","2,356.8892","2,329.0378","-","-0.05%"
"Oct 13, 2016","2,339.2800","2,319.4634","2,341.4353","2,307.5923","-","0.67%"
"Oct 12, 2016","2,323.7461","2,344.8066","2,354.6963","2,321.5391","-","-0.92%"
"Oct 11, 2016","2,345.3359","2,363.3347","2,367.1665","2,334.8750","-","-0.86%"
"Oct 10, 2016","2,365.7051","2,319.5127","2,377.8125","2,315.2397","-","1.61%"
"Oct 07, 2016","2,328.2009","2,341.7112","2,347.5112","2,316.3816","-","-0.43%"
"Oct 06, 2016","2,338.2529","2,329.1897","2,341.7568","2,313.2957","-","0.30%"
"Oct 05, 2016","2,331.2791","2,311.9651","2,334.1528","2,311.9651","-","1.18%"
"Oct 04, 2016","2,304.1440","2,299.1143","2,312.9954","2,285.8003","-","0.17%"
"Oct 03, 2016","2,300.3369","2,284.9097","2,305.0027","2,268.2070","-","0.64%"
"Sep 30, 2016","2,285.6079","2,277.7310","2,289.1448","2,255.6492","-","0.32%"
"Sep 29, 2016","2,278.4121","2,262.1057","2,293.9126","2,253.6089","-","0.86%"
"Sep 28, 2016","2,258.9260","2,201.2634","2,265.9988","2,188.2876","-","2.81%"
"Sep 27, 2016","2,197.2910","2,230.0210","2,234.0901","2,186.0891","-","-1.70%"
"Sep 26, 2016","2,235.3049","2,202.4902","2,244.5437","2,195.8188","-","1.41%"
"Sep 23, 2016","2,204.3091","2,242.1035","2,256.6426","2,195.9910","-","-2.05%"
"Sep 22, 2016","2,250.4609","2,227.3916","2,261.2888","2,227.3916","-","1.12%"
"Sep 21, 2016","2,225.4529","2,209.4238","2,230.3687","2,208.9927","-","1.35%"
"Sep 20, 2016","2,195.8711","2,185.6196","2,203.2273","2,167.8267","-","0.35%"
"Sep 19, 2016","2,188.1360","2,190.3511","2,211.9036","2,186.6045","-","0.25%"
"Sep 16, 2016","2,182.6680","2,183.9333","2,189.3420","2,162.4089","-","-0.40%"
"Sep 15, 2016","2,191.3760","2,174.2368","2,199.9541","2,166.9329","-","0.87%"
"Sep 14, 2016","2,172.4519","2,203.4141","2,211.8938","2,169.9875","-","-1.27%"
"Sep 13, 2016","2,200.2981","2,242.0393","2,242.0393","2,197.4941","-","-1.84%"
"Sep 12, 2016","2,241.4580","2,231.7097","2,251.0835","2,199.4519","-","0.47%"
"Sep 09, 2016","2,230.8840","2,272.8838","2,272.8838","2,229.0833","-","-2.11%"
"Sep 08, 2016","2,278.9080","2,231.7166","2,281.6389","2,227.0527","-","2.66%"
"Sep 07, 2016","2,219.8340","2,192.8611","2,222.1306","2,192.5032","-","1.15%"
"Sep 06, 2016","2,194.6819","2,200.3486","2,213.2136","2,169.8340","-","0.29%"
"Sep 02, 2016","2,188.2319","2,161.9519","2,196.1931","2,155.9307","-","1.56%"
"Sep 01, 2016","2,154.7029","2,196.5176","2,205.3503","2,150.6489","-","-1.82%"
"Aug 31, 2016","2,194.6479","2,238.9290","2,243.0554","2,189.5938","-","-2.11%"
"Aug 30, 2016","2,241.9790","2,263.4036","2,276.4126","2,236.3911","-","-0.95%"
"Aug 29, 2016","2,263.5120","2,278.4673","2,279.1592","2,257.7676","-","-1.08%"
"Aug 26, 2016","2,288.2439","2,288.3127","2,321.1746","2,273.3916","-","-0.02%"
"Aug 25, 2016","2,288.6860","2,277.9717","2,290.6621","2,266.3679","-","0.45%"
"Aug 24, 2016","2,278.3850","2,301.7095","2,304.9385","2,270.3635","-","-1.50%"
"Aug 23, 2016","2,313.1321","2,292.2849","2,319.6211","2,274.4255","-","0.72%"
"Aug 22, 2016","2,296.5400","2,330.3450","2,330.3450","2,294.1482","-","-1.63%"
"Aug 19, 2016","2,334.5071","2,337.3435","2,344.4790","2,318.4951","-","-0.09%"
"Aug 18, 2016","2,336.5610","2,300.3284","2,340.8416","2,295.8411","-","1.56%"
"Aug 17, 2016","2,300.6980","2,282.4658","2,302.7375","2,270.3762","-","0.53%"
"Aug 16, 2016","2,288.5430","2,264.3821","2,291.7783","2,257.6287","-","0.98%"
"Aug 15, 2016","2,266.4331","2,224.5469","2,269.0762","2,224.5469","-","1.85%"
"Aug 12, 2016","2,225.2310","2,206.5459","2,228.7139","2,193.1458","-","0.98%"
"Aug 11, 2016","2,203.7200","2,151.3208","2,215.7202","2,140.8108","-","2.19%"
"Aug 10, 2016","2,156.4529","2,182.5847","2,205.7288","2,152.0740","-","-1.23%"
"Aug 09, 2016","2,183.4060","2,194.8091","2,206.1934","2,179.2710","-","-0.65%"
"Aug 08, 2016","2,197.6279","2,172.2595","2,207.2737","2,170.9878","-","1.28%"
"Aug 05, 2016","2,169.8660","2,162.6694","2,174.9358","2,150.5083","-","0.24%"
"Aug 04, 2016","2,164.7180","2,145.9468","2,169.4570","2,125.4036","-","1.15%"
"Aug 03, 2016","2,140.1460","2,105.8057","2,146.9658","2,097.0876","-","1.80%"
"Aug 02, 2016","2,102.2920","2,114.2134","2,144.1104","2,092.9961","-","-0.47%"
"Aug 01, 2016","2,112.2991","2,151.5559","2,164.3518","2,106.9131","-","-2.05%"
"Jul 29, 2016","2,156.4980","2,137.1604","2,158.9529","2,117.4639","-","0.81%"
"Jul 28, 2016","2,139.2329","2,159.5100","2,167.7998","2,137.2932","-","-0.80%"
"Jul 27, 2016","2,156.5200","2,182.1782","2,196.9226","2,151.5134","-","-1.44%"
"Jul 26, 2016","2,187.9241","2,192.7871","2,195.9526","2,170.3848","-","-0.23%"
"Jul 25, 2016","2,192.9800","2,217.0247","2,222.8748","2,186.3005","-","-1.11%"
"Jul 22, 2016","2,217.5940","2,228.8828","2,233.5964","2,200.0669","-","-0.53%"
"Jul 21, 2016","2,229.3679","2,255.9028","2,266.9255","2,226.8105","-","-1.15%"
"Jul 20, 2016","2,255.4021","2,259.7993","2,268.5127","2,228.8188","-","-0.10%"
"Jul 19, 2016","2,257.6011","2,275.2930","2,291.0034","2,256.8059","-","-0.86%"
"Jul 18, 2016","2,277.2271","2,293.1968","2,301.2964","2,258.8999","-","-0.74%"
"Jul 15, 2016","2,294.2710","2,293.7068","2,317.6868","2,285.2800","-","-0.31%"
"Jul 14, 2016","2,301.4280","2,276.6072","2,312.5896","2,276.6072","-","1.10%"
"Jul 13, 2016","2,276.4890","2,322.9084","2,330.0930","2,271.7761","-","-2.09%"
"Jul 12, 2016","2,325.0920","2,262.7646","2,326.7058","2,261.0603","-","2.63%"
"Jul 11, 2016","2,265.4009","2,281.1763","2,300.6880","2,261.4067","-","-0.68%"
"Jul 08, 2016","2,280.8191","2,270.0513","2,289.0840","2,261.3154","-","0.69%"
"Jul 07, 2016","2,265.1841","2,341.6550","2,363.2383","2,258.1555","-","-2.92%"
"Jul 06, 2016","2,333.3181","2,324.8098","2,338.6926","2,291.9312","-","0.45%"
"Jul 05, 2016","2,322.7830","2,394.7283","2,394.7283","2,312.4114","-","-3.22%"
"Jul 01, 2016","2,400.0400","2,388.5388","2,403.1169","2,371.2498","-","0.64%"
"Jun 30, 2016","2,384.6609","2,417.5044","2,420.7070","2,382.5029","-","-1.66%"
"Jun 29, 2016","2,424.7971","2,378.7700","2,427.9922","2,376.0923","-","2.21%"
"Jun 28, 2016","2,372.3101","2,329.6379","2,376.4128","2,325.5742","-","2.21%"
"Jun 27, 2016","2,321.1060","2,348.6338","2,371.5376","2,311.0864","-","-1.39%"
"Jun 24, 2016","2,353.9180","2,421.0991","2,422.2590","2,331.8921","-","-3.02%"
"Jun 23, 2016","2,427.1589","2,408.5090","2,428.8496","2,400.2466","-","0.98%"
"Jun 22, 2016","2,403.6150","2,433.4480","2,442.3596","2,388.8210","-","-0.82%"
"Jun 21, 2016","2,423.5581","2,437.1055","2,438.6230","2,398.2014","-","-0.71%"
"Jun 20, 2016","2,440.9370","2,404.0557","2,441.8342","2,401.8789","-","1.61%"
"Jun 17, 2016","2,402.3701","2,344.1438","2,406.0549","2,344.1438","-","2.46%"
"Jun 16, 2016","2,344.7251","2,388.5332","2,391.5354","2,338.4519","-","-2.22%"
"Jun 15, 2016","2,398.0381","2,404.1443","2,420.6382","2,391.9500","-","-0.79%"
"Jun 14, 2016","2,417.0400","2,424.8853","2,424.8853","2,399.4619","-","-0.56%"
"Jun 13, 2016","2,430.6890","2,437.2654","2,444.3281","2,418.0776","-","-0.17%"
