"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","2,774.7261","2,808.4165","2,815.0869","2,771.2527","-","-1.20%"
"Dec 30, 2021","2,808.2910","2,813.0950","2,826.6074","2,799.0586","-","-0.15%"
"Dec 29, 2021","2,812.3779","2,800.4258","2,832.9387","2,790.1819","-","0.46%"
"Dec 28, 2021","2,799.4031","2,803.8835","2,828.5454","2,796.8362","-","-0.06%"
"Dec 27, 2021","2,801.1531","2,760.6851","2,809.3555","2,740.5183","-","1.47%"
"Dec 23, 2021","2,760.6621","2,738.6394","2,762.8516","2,732.3867","-","0.81%"
"Dec 22, 2021","2,738.4951","2,694.2732","2,742.4290","2,693.4382","-","1.69%"
"Dec 21, 2021","2,692.8870","2,628.9685","2,699.1248","2,623.9719","-","2.63%"
"Dec 20, 2021","2,623.8701","2,656.9309","2,657.1812","2,582.4907","-","-1.78%"
"Dec 17, 2021","2,671.3420","2,695.9421","2,700.7712","2,655.0657","-","-1.06%"
"Dec 16, 2021","2,699.9509","2,659.5249","2,709.7898","2,659.3682","-","1.82%"
"Dec 15, 2021","2,651.5879","2,660.5237","2,662.3281","2,632.4998","-","-0.48%"
"Dec 14, 2021","2,664.2539","2,678.7666","2,689.3745","2,643.8381","-","-0.55%"
"Dec 13, 2021","2,678.8879","2,692.9209","2,719.3269","2,675.5645","-","-0.43%"
"Dec 10, 2021","2,690.5549","2,674.8586","2,703.3948","2,660.7720","-","0.53%"
"Dec 09, 2021","2,676.2800","2,704.6184","2,719.8328","2,668.8916","-","-1.01%"
"Dec 08, 2021","2,703.4700","2,687.7336","2,712.8525","2,672.8564","-","0.52%"
"Dec 07, 2021","2,689.4299","2,640.0383","2,705.7922","2,640.0383","-","1.97%"
"Dec 06, 2021","2,637.5300","2,603.5415","2,649.7776","2,596.7146","-","1.74%"
"Dec 03, 2021","2,592.3210","2,597.0227","2,650.0801","2,585.1587","-","0.18%"
"Dec 02, 2021","2,587.5649","2,573.2122","2,607.8960","2,512.3191","-","0.56%"
"Dec 01, 2021","2,573.2351","2,585.5637","2,649.1719","2,570.3762","-","-0.22%"
"Nov 30, 2021","2,578.9380","2,685.6912","2,699.9690","2,549.1372","-","-3.69%"
"Nov 29, 2021","2,677.8220","2,694.2119","2,747.7925","2,659.5991","-","0.47%"
"Nov 26, 2021","2,665.2280","2,860.0586","2,860.0586","2,642.9355","-","-7.07%"
"Nov 24, 2021","2,868.0100","2,863.5840","2,882.7197","2,858.2292","-","0.09%"
"Nov 23, 2021","2,865.3311","2,820.3188","2,870.0508","2,797.1306","-","1.60%"
"Nov 22, 2021","2,820.3149","2,795.9976","2,825.3218","2,781.1631","-","0.74%"
"Nov 19, 2021","2,799.4919","2,837.6033","2,866.6746","2,780.7737","-","-1.37%"
"Nov 18, 2021","2,838.4761","2,824.6187","2,846.0076","2,805.4800","-","0.48%"
"Nov 17, 2021","2,824.8779","2,863.0271","2,863.0271","2,817.6233","-","-1.39%"
"Nov 16, 2021","2,864.7759","2,862.0227","2,883.6699","2,851.8718","-","0.07%"
"Nov 15, 2021","2,862.7200","2,865.1475","2,866.4456","2,830.6509","-","0.06%"
"Nov 12, 2021","2,861.1289","2,873.6333","2,875.3154","2,836.4883","-","-0.50%"
"Nov 11, 2021","2,875.6450","2,857.0791","2,884.1812","2,840.7935","-","0.65%"
"Nov 10, 2021","2,857.0439","2,894.9175","2,905.3853","2,847.3840","-","-1.18%"
"Nov 09, 2021","2,891.0381","2,868.2385","2,893.0435","2,858.1997","-","0.79%"
"Nov 08, 2021","2,868.2981","2,855.2607","2,881.8403","2,855.2607","-","0.47%"
"Nov 05, 2021","2,854.8401","2,826.8271","2,864.4324","2,814.2107","-","1.23%"
"Nov 04, 2021","2,820.2300","2,849.9192","2,912.2122","2,812.6799","-","-1.22%"
"Nov 03, 2021","2,855.1521","2,915.2991","2,915.2991","2,842.6687","-","-2.06%"
"Nov 02, 2021","2,915.2949","2,912.4690","2,924.5183","2,896.2041","-","0.10%"
"Nov 01, 2021","2,912.4651","2,891.8528","2,922.8501","2,876.0371","-","0.71%"
"Oct 29, 2021","2,891.9509","2,897.5198","2,906.1406","2,859.4685","-","-0.17%"
"Oct 28, 2021","2,896.8020","2,900.7229","2,902.8318","2,851.3569","-","-0.14%"
"Oct 27, 2021","2,900.7581","2,940.4175","2,940.4175","2,888.3074","-","-1.35%"
