"","mean","median","sd","min","max","period"
"Crude_Oil_WTI Diesel",0.687426672890829,0.704511092075737,0.399700132240949,-0.157769824351863,1.44009032160586,"gfc"
"Crude_Oil_WTI Heating_Oil",0.814366186178551,0.874889836979516,0.482595087270933,-0.342169125067718,1.63195648892161,"gfc"
"Crude_Oil_WTI Natural_Gas",0.406940298853555,0.352905712855463,0.246423946407004,0.0137504116584859,1.0717324876742,"gfc"
"Crude_Oil_WTI NY_Gasoline",0.33074358749864,0.287559354926004,0.299370033685825,-0.178612018983632,1.14167626540041,"gfc"
"Diesel Heating_Oil",0.712978362703226,0.742047778091749,0.517059400990152,-1.33510331114143,2.59655921525888,"gfc"
"Diesel Natural_Gas",0.346239932964615,0.340698301736686,0.172468679742978,-0.00179697346978236,0.753440297522332,"gfc"
"Diesel NY_Gasoline",0.14673266024985,0.156019265773706,0.209049999285315,-0.492346939393308,0.708265751187292,"gfc"
"Heating_Oil Natural_Gas",0.327006227868798,0.312612818399944,0.176313548428924,3.89531112369332e-05,0.834042450687332,"gfc"
"Heating_Oil NY_Gasoline",0.0191866187600021,-0.00560157861191201,0.255335963123535,-0.546303360799904,0.837008377698903,"gfc"
"Natural_Gas NY_Gasoline",0.537259088529826,0.556211765092485,0.20588036305419,0.0227992138973065,0.91177213170627,"gfc"
"Crude_Oil_WTI Diesel1",0.698715992747377,0.665824490699548,0.258459636344055,0.196860060221897,1.60925343902062,"post_gfc"
"Crude_Oil_WTI Heating_Oil1",0.725952007319483,0.726487075566584,0.304469701989687,-0.0475852177733662,1.65834301209457,"post_gfc"
"Crude_Oil_WTI Natural_Gas1",0.28514395812363,0.279282137037069,0.162074539210441,-0.0190795054561341,0.745375408360729,"post_gfc"
"Crude_Oil_WTI NY_Gasoline1",0.436106357356456,0.400407540486739,0.216814331072905,-0.0905798569486733,1.0955324235369,"post_gfc"
"Diesel Heating_Oil1",0.462227597847129,0.510755238225357,0.41004142128921,-1.46598905129023,1.34752405756893,"post_gfc"
"Diesel Natural_Gas1",0.23235045450867,0.234537908452822,0.111482239475685,-0.00503229474836247,0.607577255670301,"post_gfc"
"Diesel NY_Gasoline1",0.254512132700377,0.258992301984064,0.192506431770063,-0.270551933090511,0.944674928367996,"post_gfc"
"Heating_Oil Natural_Gas1",0.233301077393781,0.22476262874599,0.122263575672495,-0.018130007036485,0.674787775434549,"post_gfc"
"Heating_Oil NY_Gasoline1",0.235323890300467,0.202421264745092,0.212118242025225,-0.384235140234437,1.03709487923664,"post_gfc"
"Natural_Gas NY_Gasoline1",0.685114038277354,0.673995519289406,0.146788008462957,0.291232702894929,1.01303119205921,"post_gfc"
"Crude_Oil_WTI Diesel2",0.564483880015799,0.575855693332792,0.282965571093816,-0.168086027334314,1.25736264320618,"low_oil"
"Crude_Oil_WTI Heating_Oil2",0.505200958569256,0.483227380081579,0.326133969803285,-0.207066395986958,1.26181550502874,"low_oil"
"Crude_Oil_WTI Natural_Gas2",0.363671955718197,0.365042289853739,0.150957203123154,0.0725004386454774,0.848313664095827,"low_oil"
"Crude_Oil_WTI NY_Gasoline2",0.49550652721333,0.485078862112372,0.24840541192007,-0.164652967476322,1.120081507882,"low_oil"
"Diesel Heating_Oil2",0.447419152237628,0.424202936657855,0.356892336177573,-0.564264228424114,1.4325746328459,"low_oil"
"Diesel Natural_Gas2",0.352154948470504,0.361441423774823,0.129200637688405,0.0746512622462786,0.838700088514599,"low_oil"
"Diesel NY_Gasoline2",0.46306788080477,0.442972080046091,0.24483015161196,-0.178858231901187,1.11880512820376,"low_oil"
"Heating_Oil Natural_Gas2",0.361864521409521,0.369950690203796,0.14369576404768,0.037061981949934,0.829281841713472,"low_oil"
"Heating_Oil NY_Gasoline2",0.494292940624478,0.498467620124036,0.263231301537077,-0.174007305855881,1.20899371592161,"low_oil"
"Natural_Gas NY_Gasoline2",0.634556342192064,0.652589624292279,0.158744961363849,0.0494478986669326,0.975209881333219,"low_oil"
"Crude_Oil_WTI Diesel3",0.624814028042707,0.611743170543816,0.275947710037268,-0.013952535967368,1.48211302213808,"fed_rates"
"Crude_Oil_WTI Heating_Oil3",0.938368910075358,0.955280424750413,0.327897886926443,0.114211333697815,1.89103496798519,"fed_rates"
"Crude_Oil_WTI Natural_Gas3",0.263946546105711,0.267424626846045,0.136954518986723,-0.010199754739713,0.696130565983987,"fed_rates"
"Crude_Oil_WTI NY_Gasoline3",0.509503374026996,0.477411345736251,0.272500457650873,-0.233147226702145,1.16087500845124,"fed_rates"
"Diesel Heating_Oil3",0.799043810223984,0.800058593175542,0.233395201142726,0.0453053910800945,1.36156361030438,"fed_rates"
"Diesel Natural_Gas3",0.241588203520203,0.244119672874646,0.125043148997122,-0.0176952315730346,0.608306484444395,"fed_rates"
"Diesel NY_Gasoline3",0.38374506433936,0.398119355118247,0.229244563366001,-0.308191767613476,0.872362006156858,"fed_rates"
"Heating_Oil Natural_Gas3",0.192574283495908,0.191680155186825,0.109881148578073,-0.0260699383944003,0.57770531150198,"fed_rates"
"Heating_Oil NY_Gasoline3",0.147601462240763,0.153467426219279,0.224938820293356,-0.399809462594131,0.692253968967371,"fed_rates"
"Natural_Gas NY_Gasoline3",0.717192228180438,0.724473257818004,0.153138251338345,0.142663709164657,0.995945025225951,"fed_rates"
"Crude_Oil_WTI Diesel4",0.689798883791465,0.694036345764451,0.35149745598445,-0.141905036953856,1.52194703499167,"covid"
"Crude_Oil_WTI Heating_Oil4",0.609034224747354,0.612357298031044,0.454289254933324,-0.437636128777496,1.5998677810759,"covid"
